net,length_um
wbs_dat_i[19],10.76
net306,10.76
wbs_stb_i,10.76
_036_,10.72
_311_,10.7
net1244,10.7
_193_,10.66
net1000,10.66
_172_,10.62
net341,10.58
io_oeb[13],10.57
io_oeb[1],10.57
io_oeb[5],10.57
io_oeb[9],10.57
io_out[0],10.57
io_out[12],10.57
io_out[4],10.57
io_out[8],10.57
la_data_in[10],10.57
la_data_in[14],10.57
la_data_in[15],10.57
la_data_in[19],10.57
la_data_in[23],10.57
la_data_in[6],10.57
la_data_in[7],10.57
_262_,10.54
_275_,10.54
_200_,10.5
net1039,10.46
_117_,10.44
net181,10.44
net1005,10.44
_228_,10.435
wbs_dat_o[10],10.42
_163_,10.38
_276_,10.38
_287_,10.32
net355,10.32
net447,10.32
net448,10.32
net1291,10.32
net1295,10.32
wbs_dat_i[2],10.3
wbs_dat_i[6],10.3
_292_,10.28
net93,10.28
net712,10.26
_291_,10.08
net1092,10
net71,9.98
wbs_dat_o[11],9.96
wbs_dat_o[12],9.96
wbs_dat_o[3],9.96
net449,9.94
net184,9.92
net410,9.92
_304_,9.9
net737,9.9
net1128,9.9
io_oeb[2],9.89
la_data_in[12],9.89
la_data_in[13],9.89
la_data_in[16],9.89
la_data_in[8],9.89
la_data_in[9],9.89
la_oenb[16],9.89
la_oenb[20],9.89
net372,9.86
net479,9.86
net481,9.86
net485,9.86
net507,9.86
net626,9.86
_246_,9.82
net164,9.8
net109,9.78
net117,9.78
net346,9.78
net370,9.78
_124_,9.7
net450,9.7
net499,9.62
net1167,9.62
_145_,9.58
net387,9.58
io_oeb[0],9.55
io_oeb[12],9.55
io_oeb[4],9.55
io_oeb[8],9.55
io_out[11],9.55
io_out[3],9.55
io_out[7],9.55
net1048,9.54
net1061,9.54
net1070,9.54
net1004,9.54
_221_,9.52
_207_,9.48
net558,9.48
net390,9.475
_147_,9.44
_123_,9.4
_247_,9.4
net435,9.4
net343,9.36
net936,9.36
net176,9.34
net824,9.32
_235_,9.3
net483,9.28
io_oeb[10],9.21
io_oeb[14],9.21
io_oeb[6],9.21
io_out[13],9.21
io_out[1],9.21
io_out[5],9.21
io_out[9],9.21
la_data_in[25],9.21
net1011,9.12
_283_,9.11
net328,9.08
net859,9.08
net401,9.06
net438,9.06
net489,9.06
net1151,9.02
net496,8.985
net582,8.98
net805,8.98
net1314,8.98
net501,8.94
net505,8.94
net509,8.94
_018_,8.92
net618,8.82
net1089,8.82
_269_,8.76
net425,8.74
io_oeb[28],8.73
net775,8.7
net316,8.66
_205_,8.6
net325,8.6
net513,8.6
_249_,8.56
net650,8.56
_127_,8.54
la_oenb[15],8.53
la_oenb[17],8.53
la_oenb[19],8.53
la_oenb[21],8.53
la_oenb[31],8.53
_089_,8.52
_218_,8.52
_240_,8.5
_177_,8.48
net477,8.48
net1091,8.48
_019_,8.46
net1055,8.46
net190,8.44
net1251,8.4
io_oeb[24],8.39
io_out[27],8.39
net616,8.36
net1342,8.36
_060_,8.16
_264_,8.16
_315_,8.14
net1060,8.14
_271_,8.12
_017_,8.1
_180_,8.1
_239_,8.1
net177,8.1
net421,8.1
net517,8.1
_056_,8.06
_206_,8.06
